,taxon_id,taxon_size,mean_cosine_score,taxon_base_path,taxon_level,level1taxon,fewer_than_or_equal_5items,more_than_0_5_diversity
319,5c76ad4e-4b4d-4f72-a6ef-b277b31b98a1,108,0.3613312244415283,/transport/buses,3,Transport,0,0
1048,35d3e1b5-5777-4cbb-b4c7-0a20f9d6d7e2,17,0.36125463247299194,/education/primary-curriculum-key-stage-2-english,4,"Education, training and skills",0,0
1178,28e3bfa0-7148-4ab4-8bd9-a839e0563869,9,0.36103057861328125,/government/technology-guidance-technology-guidance-identity-assurance,4,Government,0,0
652,714bc7d1-afb0-4e10-9558-268da5dbbbba,65,0.360798180103302,/education/pupil-premium-and-other-school-premiums,3,"Education, training and skills",0,0
1013,701c759c-af71-4521-8ee4-6a9300aa1909,16,0.36073294281959534,/environment/environmental-management-land-management-commons-and-greens,4,Environment,0,0
597,56b78356-c7bf-4460-8775-d04b590ec7ca,99,0.360581636428833,/education/hiring-and-training-an-apprentice,4,"Education, training and skills",0,0
567,a44e9afd-6e09-4dcf-90a3-18e8e8708cb7,62,0.3603426218032837,/transport/vessel-cargo,3,Transport,0,0
396,3b643153-c4ff-45aa-b923-0be70b083071,546,0.3602604568004608,/regional-and-local-government/local-government-spending,2,Regional and local government,0,0
474,06e2928c-57b1-4b8d-a06e-3dde9ce63a6f,94,0.3602111041545868,/entering-staying-uk/rights-eu-eea-citizens,3,Entering and staying in the UK,0,0
434,dd1e5961-65c9-495b-b5e9-06035a1bc9e6,79,0.35992902517318726,/education/funding-for-school-buildings-and-land,3,"Education, training and skills",0,0
505,4dafe1f8-593c-47da-a3b5-577d96feeee4,30,0.3599134683609009,/education/school-places,4,"Education, training and skills",0,0
723,0f92387b-f477-4592-85e6-0742f3fcf696,84,0.3598976731300354,/education/support-for-special-educational-needs-and-disability-send,3,"Education, training and skills",0,0
420,a4822791-855a-4f14-877a-e199b5c58126,165,0.3596234619617462,/welfare/child-maintenance-reform,2,Welfare,0,0
390,18c7918f-cde5-4e66-b5f4-cd15c33cc1cc,60,0.35844576358795166,/entering-staying-uk/travel-identity-documents-for-foreign-nationals,2,Entering and staying in the UK,0,0
442,bcefe697-faa6-46e2-a64c-2d249a4bc1e8,18,0.35824859142303467,/transport/vehicle-insurance,4,Transport,0,0
939,5b85ce16-9b5d-4626-ad27-0dc3c7f31c91,29,0.3581078350543976,/transport/taxi-and-private-hire-vehicle-licensing,5,Transport,0,0
747,75ba781f-1bbb-4b11-89db-aad08e9a9259,13,0.3580470085144043,/business/environmental-management-water-drought-and-water-availability,3,Environment,0,0
698,6f204e9a-a634-4942-8486-ecc841388f5c,44,0.3580438494682312,/education/school-buildings-and-land-guidelines,4,"Education, training and skills",0,0
580,03fa6720-7d9e-4ecb-8afc-3b1f44c9e9f0,26,0.3578921854496002,/money/dealing-with-hmrc-software-development-software-development-support,4,Money,0,0
179,ccfc50f5-e193-4dac-9d78-50b3a8bb24c5,199,0.35757169127464294,/business/finance-support,3,Business and industry,0,0
618,4d4b14d5-be3a-4ac9-b755-59d6c951c09d,19,0.3574143052101135,/transport/towing,4,Transport,0,0
1017,9ed56732-8600-493e-8467-295233529718,8,0.35739731788635254,/childcare-parenting/child-custody,3,"Parenting, childcare and children's services ",0,0
756,7141c208-70d6-4858-aac2-f59ab52e8b38,38,0.35733523964881897,/transport/employment-of-seafarers,4,Transport,0,0
1147,1fd4f85d-83f0-46ec-878c-019967490c58,17,0.3571532368659973,/money/stamp-duty-on-shares,3,Money,0,0
511,93c140af-8bfd-410e-bc0a-a9be0f312ff9,15,0.35683533549308777,/environment/producing-distributing-food-dairy-milk-production,4,Environment,0,0
109,0d76003d-76ba-4af5-a19e-31ab3f8ba689,93,0.35682639479637146,/education/phonics,4,"Education, training and skills",0,0
992,3564cf4e-506c-42fa-bdd3-e95e7908645f,7,0.3567727208137512,/employment/business-tax-self-employed-self-assessment,3,Work,0,0
348,8b68c537-c1ba-47b3-93f7-a2821af2d599,269,0.35657140612602234,/regional-and-local-government/council-tax-reform,4,Regional and local government,0,0
454,9f5f3106-7145-4f30-a2d5-e3ac1b002289,73,0.3563590347766876,/transport/driving-and-motorcycle-tests,3,Transport,0,0
794,edb96e44-aeb4-4c2a-817e-f93e8e0c4057,74,0.35633108019828796,/health-and-social-care/health-protection-services-laboratories-and-reference-facilities,3,Health and social care,0,0
859,7d8a5648-852c-4d5c-9bd6-1e87a480f8cc,58,0.3563060462474823,/transport/blue-badges,3,Transport,0,0
528,e5f07ff7-b491-4d9f-9106-92aa276ee728,29,0.3559928238391876,/environment/fishing-regulations-monitoring-enforcement,3,Environment,0,0
107,00eb9a66-ca33-4515-b425-b01bffc43ff1,257,0.3559514582157135,/business-and-industry/free-trade,3,Business and industry,0,0
885,8e89e8a8-4658-4d97-a8d8-012a87a1ce62,28,0.3553953468799591,/transport/driving-licences-and-medical-conditions,4,Transport,0,0
114,f7071a5c-d6dc-4f2e-b83d-83414ae15536,151,0.35523954033851624,/transport/maritime-safety,3,Transport,0,0
1002,645d4bd6-84a2-49e0-bc38-f0d5459f583e,15,0.35516244173049927,/health-and-social-care/antimicrobial-resistance,3,Health and social care,0,0
938,e92e4670-aa56-4404-9120-44500f160c41,8,0.355141282081604,/education/help-with-school-costs,3,"Education, training and skills",0,0
536,a99fc39c-997a-4b1a-9e6d-8cf63a3100be,39,0.35480207204818726,/employment/workplace-personal-pensions,3,Work,0,0
569,bcb4bdf3-5807-4421-a427-7dfe78d5f6d5,40,0.35479724407196045,/education/local-authority-schools-financial-reporting-and-assurance,3,"Education, training and skills",0,0
202,1f0d0dcf-a5c0-4116-9ece-b7d7d46b3e3e,59,0.3546432554721832,/environment/boats-waterways,3,Environment,0,0
263,e699a773-e089-4167-9e92-2c5096b720f5,219,0.35438403487205505,/business/local-enterprise-partnerships-leps-and-enterprise-zones,4,Business and industry,0,0
156,ef01a97b-fe09-40bb-87af-d6b38a86195c,272,0.3542097806930542,/transport/rail-infrastructure,3,Transport,0,0
758,a0774926-fa64-4ecf-84aa-1341b638933a,113,0.353989839553833,/health-and-social-care/dementia,4,Health and social care,0,0
1106,e122c1bf-6b8a-4145-975c-31612a3f344c,18,0.3539004921913147,/government/technology-guidance-technology-guidance-open-standards,4,Government,0,0
872,e486f44b-2af1-4bc2-ba5a-418f0a771413,25,0.35346248745918274,/housing-local-and-community/planning-permission,3,"Housing, local and community",0,0
877,b422afa3-8349-4bb8-a36a-81d63a19507e,26,0.3530525267124176,/education/alternative-provision-and-pupil-referral-units,3,"Education, training and skills",0,0
510,0398a361-7c0d-49dd-beb3-4e405571f627,59,0.3529285490512848,/transport/hs2,3,Transport,0,0
336,27af9b0f-9ddf-47e2-9103-2f6f72d9ddf7,214,0.35289227962493896,/education/further-education-funding,3,"Education, training and skills",0,0
636,e957194d-ba66-4bca-a8e6-2959e00fe89c,32,0.35280880331993103,/money/employment-related-securities,3,Money,0,0
315,c0e3093c-fd53-4129-ac76-a869b1bb8c21,16,0.35276806354522705,/housing-local-and-community/land-development-opportunities,3,"Housing, local and community",0,0
429,e2b37c87-3af0-45d7-8a39-6f15fa70408b,31,0.35242709517478943,/education/further-education-provider-performance-measures,4,"Education, training and skills",0,0
554,81186333-f811-4983-b882-903bc7d32a3e,29,0.35241663455963135,/business/consumer-credit-market,4,Business and industry,0,0
5,357110bb-cbc5-4708-9711-1b26e6c63e86,24155,0.35237613320350647,/crime-justice-and-law/courts-sentencing-tribunals,2,"Crime, justice and law",0,0
1008,88c55513-b473-4627-a856-6ae95b6b4e08,13,0.3523413836956024,/health-and-social-care/technology-in-health-and-social-care,2,Health and social care,0,0
1068,a8bffaae-5c8c-439f-92f0-c9fbf32ce1d9,6,0.35229936242103577,/education/starting-and-attending-school,2,"Education, training and skills",0,0
954,a44b1c68-807c-45fe-bc7b-a47586617863,6,0.3511016070842743,/childcare-parenting/financial-help-if-you-have-children,2,"Parenting, childcare and children's services ",0,0
820,1d9ac892-220f-4a21-89fa-e1a0e1f512ef,27,0.3508029878139496,/transport/driver-and-vehicle-record,4,Transport,0,0
161,6391a4bc-6109-4da4-b311-f78954334969,14,0.3507564961910248,/childcare-parenting/financial-support-for-childcare,3,"Parenting, childcare and children's services ",0,0
8,90e8a226-8d40-4c1f-91e4-36a712b34e57,235,0.35040000081062317,/education/school-and-academy-funding,2,"Education, training and skills",0,0
371,3d9346ff-57d9-49db-bc49-f42e2101ca79,13,0.35037294030189514,/business-and-industry/outward-investment,3,Business and industry,0,0
217,c7b6e458-8f7f-4ad0-a12c-c3bfdfe322b7,315,0.3502078652381897,/transport/motorways,4,Transport,0,0
776,904cfd73-2707-47b8-8754-5765ec5a5b68,69,0.3501928448677063,/education/primary-curriculum-key-stage-1,3,"Education, training and skills",0,0
821,783cf728-cd63-47ce-aa63-b466b2ea3982,9,0.3500785827636719,/crime-justice-and-law/forced-marriage,2,"Crime, justice and law",0,0
264,25511b5f-2799-4141-9444-d08e9ebc0a8a,263,0.34948062896728516,/transport/road-improvement-and-investment,3,Transport,0,0
828,6fe00099-9771-4889-8638-c7f4247a168c,21,0.3494269549846649,/education/primary-curriculum-key-stage-2-maths,4,"Education, training and skills",0,0
895,0c5fc8b5-bf51-4a9b-abc3-512d78d719cb,31,0.34929484128952026,/transport/vehicle-import-and-export,4,Transport,0,0
724,ff0e8e1f-4dea-42ff-b1d5-f1ae37807af2,33,0.34890177845954895,/education/becoming-an-apprentice,4,"Education, training and skills",0,0
1031,e43d1806-a61e-4c22-9c37-4321f513bf81,5,0.3484230041503906,/environment/environmental-management-marine-harbours,3,Environment,1,0
802,b67afac3-0bfc-4e44-9893-951be4d05e4c,32,0.34805411100387573,/education/safeguarding-pupils,3,"Education, training and skills",0,0
1103,68607356-927a-4d99-a4da-cd21c6c34204,8,0.3478076457977295,/environment/producing-distributing-food-egg-production-marketing,4,Environment,0,0
1055,492484cf-41a2-4297-bad3-95e643198cfe,10,0.3477877080440521,/crime-justice-and-law/legal-aid-for-providers-high-cost-complex-cases,3,"Crime, justice and law",0,0
875,75d02e8b-e382-4d0a-933b-bcae70a577dd,35,0.3474850654602051,/employment/state-pension-age,3,Work,0,0
700,7348fafc-bb80-4143-a55c-04238e04f377,38,0.3474375009536743,/defence/defence-armed-forces-ministry-of-defence-estate-public-access,3,Defence and armed forces,0,0
933,39e60ce9-5b21-49e9-919f-2cf3ffa4b075,35,0.34742555022239685,/childcare-parenting/becoming-a-childcare-provider,4,"Parenting, childcare and children's services ",0,0
1018,d7297215-a71a-4cd2-8e54-8405ed040901,16,0.34737592935562134,/regional-and-local-government/finance-capital-assets,3,Regional and local government,0,0
836,65c540b3-0b1d-424e-8869-4f23a254235d,13,0.3473486304283142,/health-and-social-care/disabilities-carers,3,Health and social care,0,0
858,64d18c5f-9038-4b90-a10f-30e3c94f5657,16,0.34734290838241577,/education/funding-for-school-places,3,"Education, training and skills",0,0
480,c796b28c-d129-4037-9fee-e89e3a22d0a6,91,0.34713971614837646,/employment/state-pension-simplification,3,Work,0,0
502,f431414e-ff30-42ba-812b-a4df1d68a0b4,39,0.3469218611717224,/business/management-of-the-european-regional-development-fund,4,Business and industry,0,0
210,23941096-abfd-4997-8111-646a7c5e9813,212,0.34687158465385437,/transport/airport-capacity-and-expansion,3,Transport,0,0
1123,c7111466-d961-466f-adce-eccbda93b7d8,7,0.34684038162231445,/environment/keeping-farmed-animals-pig-identity-registration-movements,4,Environment,0,0
66,1a26ae19-00f2-4be1-b9b6-aa72876a0278,127,0.3468199074268341,/education/school-and-academy-financial-management-and-assurance,2,"Education, training and skills",0,0
165,030d7e01-c82a-4e28-afe4-176409807028,111,0.34678295254707336,/transport/local-transport-funding,3,Transport,0,0
1212,7e51374b-a3c4-45a4-bf8e-e6b5bc31ae8b,8,0.34674954414367676,/money/personal-tax-savings-investment-tax-guidance-for-financial-institutions,4,Money,0,0
88,8969ecd4-15d2-4066-8ca2-7f72fa4cde61,17,0.34673529863357544,/environment/planning-development-protected-sites-species-marine-sites-and-species,4,Environment,0,0
1203,f5babf0a-9e91-4a70-97fb-7e4ffaee33a0,9,0.34671056270599365,/education/primary-curriculum-key-stage-2-science,4,"Education, training and skills",0,0
1107,34dfe08a-a416-4052-9952-4266ffb08dba,2,0.34663012623786926,/government/apis-and-app-development,3,Government,1,0
262,a2b7ae2a-4e00-47ef-8d13-77e395cce800,264,0.34645766019821167,/business-and-industry/energy-demand-reduction-in-industry-business-and-the-public-sector,3,Business and industry,0,0
728,1127bf21-8774-4c58-9ac7-0906b96cfb59,83,0.3464038372039795,/transport/vehicle-manufacturing-and-modification,4,Transport,0,0
501,425efa13-b989-4058-847b-c40985767792,145,0.3462269604206085,/health-and-social-care/compassionate-care-in-the-nhs,3,Health and social care,0,0
651,ce8f2272-2a01-4c0c-850e-b824f5fe823d,28,0.3461419343948364,/education/functional-skills,4,"Education, training and skills",0,0
964,68068ced-fa8c-4fb5-80b5-9b1543f3bb8c,15,0.3459298014640808,/environment/keeping-farmed-animals-sheep-identity-registration,4,Environment,0,0
812,f40a63ce-ac0c-4102-84d1-f1835cb7daac,36,0.34575048089027405,/childcare-parenting/fostering,3,"Parenting, childcare and children's services ",0,0
138,a930add5-b2d8-406b-8368-80b961766f0d,101,0.34573590755462646,/transport/road-accidents-and-serious-accidents,4,Transport,0,0
469,70487388-9db0-465b-a53c-fd96c6aedb0b,47,0.34542927145957947,/money/investment-schemes,3,Money,0,0
971,85e30de3-a8e4-4b44-a904-dfeaaa697ff1,8,0.3453727960586548,/crime-justice-and-law/legal-aid-for-providers-payments-processing,3,"Crime, justice and law",0,0
21,f37542ca-a728-42dc-aaa2-801b03daba33,242,0.3453620970249176,/transport/road-works-and-streetworks,3,Transport,0,0
599,ccb40a29-34ca-4a4c-b4ea-a78279047774,64,0.34500476717948914,/entering-staying-uk/visa-applications,3,Entering and staying in the UK,0,0
559,f41ababe-749f-4524-b8e9-845ad5d3e632,82,0.34485429525375366,/transport/maritime-navigation,3,Transport,0,0
370,35e19b12-3e76-48c7-8b39-4214c28a1a2a,47,0.34460052847862244,/business-and-industry/inward-investment,3,Business and industry,0,0
526,b508d8eb-de70-4e08-b7d9-9e4a9f5bedae,17,0.3442893326282501,/childcare-parenting/Early-years-curriculum-0-to-5,4,"Parenting, childcare and children's services ",0,0
1016,124256da-af20-4eb4-ae5b-28894c56dee0,8,0.3440430462360382,/defence/defence-armed-forces-military-awards-commemorations-honours-and-awards,3,Defence and armed forces,0,0
729,8af13fba-d969-4d87-a02e-2e71783d47be,22,0.3439491093158722,/money/business-tax-vat-exporting-goods-and-services,4,Money,0,0
503,7511030e-3c79-44ee-a1c3-1627a6ec0570,190,0.34394267201423645,/government/job-roles-and-talent-acquisition,4,Government,0,0
985,576e8b97-1a70-40b1-994c-3062e23057e7,58,0.34314262866973877,/transport/lorry-bus-coach-and-specialist-vehicle-driving-tests,4,Transport,0,0
304,b376d700-3928-4540-b216-683dd39fb75c,29,0.34299007058143616,/education/school-bullying,3,"Education, training and skills",0,0
925,45c29c6b-1bc4-4b3b-af9d-0d05e019269d,17,0.3428382873535156,/defence/nuclear-disarmament,2,Defence and armed forces,0,0
720,bd191af7-cb8b-47d5-bcd5-82e7f95fe96d,91,0.34277790784835815,/transport/rail-franchise-procurement,4,Transport,0,0
1071,ed77b584-f8b0-4e9e-9027-ed3aadd9feac,8,0.34276872873306274,/childcare-parenting/incidents-concerns-feedback-about-childrens-social-care-providers,5,"Parenting, childcare and children's services ",0,0
1181,f98caaaa-cfc5-452e-a8e5-1a27efcdeffa,6,0.34270691871643066,/government/technology-guidance-technology-guidance-risk-management,4,Government,0,0
173,e796e3fb-35ac-420c-bd1b-964eec7d06a6,278,0.3426972031593323,/environment/water-and-sewerage-services,3,Environment,0,0
481,93aa62fb-0969-41c6-894a-96bbcf2612d5,201,0.3426670432090759,/employment/automatic-enrolment-in-workplace-pensions,3,Work,0,0
556,af89d06d-db1c-4a37-a8df-63d1e308c183,335,0.34252941608428955,/education/key-stage-3-and-4-exam-marking-qualifications-and-results,4,"Education, training and skills",0,0
1126,02fdbc1c-89ff-493c-a150-2a2b5e40cc5d,8,0.34244170784950256,/money/leaving-uk,3,Money,0,0
887,b19e0be5-22a3-4d79-b693-e42d7f3a608f,106,0.34197285771369934,/health-and-social-care/health-protection-services-research-testing-and-standards,3,Health and social care,0,0
822,d5e38302-6bb2-4b49-a99e-1ffab30e1e1e,21,0.3415795862674713,/education/financial-management-for-further-education-providers,4,"Education, training and skills",0,0
982,261d0114-fe5c-4dcc-b38a-7983bfc19499,13,0.3413386642932892,/money/shared-workspace,3,Money,0,0
881,332f8cd6-5d79-41dd-b6a6-b09ac071b768,17,0.3411058783531189,/transport/bus-accessibility,4,Transport,0,0
240,c6a19bb4-1264-4abe-9f1c-6c30f8dea5f7,681,0.34105029702186584,/transport/rail-accidents-and-serious-incidents,3,Transport,0,0
1113,200ed049-9820-436f-ae39-a50061243d1a,12,0.34080708026885986,/education/dealing-with-problems-at-school,3,"Education, training and skills",0,0
384,9ede3dd9-b3ea-4b35-bf51-dbd5ddc11d23,72,0.34024715423583984,/regional-and-local-government/welsh-devolution,3,Regional and local government,0,0
1196,2b9e8702-50e3-48fc-9f70-60ebd96e39c8,9,0.3396748900413513,/environment/environmental-management-environmental-risk-management-contaminated-land,4,Environment,0,0
778,568b53ae-bfb3-4e8b-8f02-cf333af97edd,50,0.339263916015625,/government/postal-service-reform,3,Government,0,0
952,8f5feade-aa1e-476b-8acc-84103b24d51e,7,0.3391737639904022,/money/dealing-with-hmrc-tax-compliance-compliance-checks,4,Money,0,0
604,86aaefa2-52db-4d8d-911d-5fff034ed035,22,0.33895379304885864,/education/student-performance-in-further-education,4,"Education, training and skills",0,0
630,04902d6e-5ac7-491b-9c4b-27b8277485e8,5,0.33875373005867004,/money/dealing-with-hmrc-tax-compliance-international-agreements-and-fatca,4,Money,1,0
1166,ec824038-05c2-4ba1-83ec-b7947fd8fdc6,7,0.3385443389415741,/government/technology-guidance-technology-guidance-email,4,Government,0,0
850,07299ca5-bc4d-48dd-a3f1-edd3b170bb4a,46,0.3379278779029846,/education/early-years-curriculum,3,"Education, training and skills",0,0
6,09e40fac-beaa-4ca9-b84e-db3bbf2c9536,253,0.33780843019485474,/education/key-stage-5-exam-marking-qualifications-and-results,4,"Education, training and skills",0,0
614,df0bf539-3c18-48d2-ac72-8d811369c9ae,88,0.3377109169960022,/transport/hs2-legislation,4,Transport,0,0
1125,5118a02f-4c09-41ca-a9fe-78e07c196c12,5,0.33720120787620544,/money/dealing-with-hmrc-paying-hmrc-pension-schemes,4,Money,1,0
213,1ddd7a85-6c64-4b1e-9e54-55b50a0ae3f3,210,0.33695879578590393,/education/primary-curriculum-key-stage-1-tests-and-assessments,4,"Education, training and skills",0,0
535,d1e5dcf5-5f36-4838-bcb6-f0068eddb8a7,45,0.3366129696369171,/transport/buying-selling-registering-and-scrapping-a-vehicle,4,Transport,0,0
276,58244357-ef02-4431-907c-415d65de8e76,60,0.3365003764629364,/transport/maritime-and-the-environment,3,Transport,0,0
214,bf9ba557-b3d8-4c4e-8e39-0d09466808b4,268,0.3361446261405945,/education/primary-curriculum-key-stage-2-tests-and-assessments,4,"Education, training and skills",0,0
620,efb5d1e8-5dd8-4b6f-9b9a-de8b098e8046,37,0.3361002504825592,/government/technology-guidance-technology-guidance-digital-marketplace,4,Government,0,0
414,87d0bee6-dcc0-4cc1-bc5e-f033f0ab620b,152,0.3360954523086548,/transport/traffic-signs-signals-and-markings,3,Transport,0,0
1011,6426d1c5-93c8-4659-85d5-1f0d3368a124,17,0.33552050590515137,/education/education-in-prisons,3,"Education, training and skills",0,0
1026,9104dfd2-4da9-4309-98dc-dc54f7d8d2db,14,0.3351643979549408,/education/primary-curriculum-key-stage-1-maths,4,"Education, training and skills",0,0
379,cf1a5c02-ed35-48f3-9e17-c702cc23ea92,220,0.3340453803539276,/education/gcse-changes-and-reforms,4,"Education, training and skills",0,0
162,44509d44-824f-40a2-babe-6388b6136b7b,33,0.33401715755462646,/childcare-parenting/support-for-children-with-send,3,"Parenting, childcare and children's services ",0,0
1162,45365268-7f50-4fb8-a651-6fb64ca42ca1,11,0.3336314260959625,/money/foreign-entertainer-rules,3,Money,0,0
916,50904cbc-3cde-4a3b-92ba-b75117671574,27,0.3335883915424347,/childcare-parenting/childrens-homes-and-other-accommodation,4,"Parenting, childcare and children's services ",0,0
801,09a7fc9f-c9d8-45fe-8066-1bf7a6dd4a22,43,0.3331342935562134,/education/school-to-school-support,3,"Education, training and skills",0,0
329,43fcdde6-59c5-487f-a969-a046b334cbec,49,0.3324892222881317,/childcare-parenting/youth-employment-and-social-issues,2,"Parenting, childcare and children's services ",0,0
543,26b71ec6-c395-4e24-b456-9490cb38d74b,35,0.3324652314186096,/education/free-school-meals-fsm-funding,3,"Education, training and skills",0,0
958,46b7fa4a-0282-48e7-ad7c-92929510ae15,16,0.33227238059043884,/housing-local-and-community/environmental-planning,3,"Housing, local and community",0,0
273,1c36710f-d41d-4bd8-ae19-6c69d9230307,348,0.3317038118839264,/transport/hs2-phase-one,4,Transport,0,0
904,98d9143e-174f-4a72-9a9d-5c8eef101cb6,15,0.33144766092300415,/education/further-education-building-and-premises,4,"Education, training and skills",0,0
129,8ad140ec-4784-483b-82a1-326f91bd29ff,31,0.33141472935676575,/health-and-social-care/population-screening-programmes-sickle-cell-thalassaemia,3,Health and social care,0,0
913,71e4a0c3-41fc-43e4-9f4c-e3702a34d227,28,0.33135145902633667,/transport/air-routes,3,Transport,0,0
551,acd7834d-1a21-4ea7-a208-bec78ec941d8,74,0.33127737045288086,/education/academy-funding,4,"Education, training and skills",0,0
677,c69bef42-a59e-419c-ba8f-9e53a3b46018,45,0.33125734329223633,/transport/rail-freight,3,Transport,0,0
631,e08f3bc0-8522-4104-b90f-e21db4af56fb,82,0.3311482071876526,/transport/maritime-surveying,3,Transport,0,0
89,bf3906da-359c-4366-9e1b-2e5b5334167e,257,0.3311436176300049,/money/pension-scheme-administration,3,Money,0,0
744,dcdfd0c3-d669-49d8-b6ce-3c09842d481f,63,0.3309995234012604,/transport/driving-motorcycle-and-lgv-instructor-qualification-process,4,Transport,0,0
468,c7db172f-74d0-4224-9868-2dfa3110411d,182,0.3309200406074524,/regional-and-local-government/scottish-constitution,3,Regional and local government,0,0
253,db5233ee-216a-4969-909a-147719a27af0,61,0.3308779299259186,/transport/hs2-construction-and-engineering,4,Transport,0,0
1101,70505387-138c-431c-a82d-94ff81f97e18,24,0.3308451473712921,/crime-justice-and-law/sentencing-reform,2,"Crime, justice and law",0,0
261,374b4837-cf2a-4529-a7f1-559d92b3d90d,44,0.33081647753715515,/employment/payroll,2,Work,0,0
748,d42da535-63de-4c5f-85fe-db2b3aff9f48,17,0.33063805103302,/money/business-tax-alcohol-duties-payments-and-reliefs,4,Money,0,0
150,107b4fd7-fef4-4a86-9796-2967c95f3f3c,27,0.3305340111255646,/regional-and-local-government/local-government-council-tax,3,Regional and local government,0,0
1027,91e476e9-e1df-4c81-acd1-c86c5bf9898d,5,0.3304992616176605,/money/ir35,3,Money,1,0
710,76af3d10-f1ff-4129-aad9-7c69edf7bb60,33,0.32993119955062866,/regional-and-local-government/local-government-business-rates,3,Regional and local government,0,0
876,8e9e3f2c-45c3-4b8b-84b9-a16af77636f3,16,0.3298555016517639,/transport/driving-licence-categories,4,Transport,0,0
972,d77fe1b6-b609-4498-a321-94a41857019a,10,0.32947027683258057,/education/financial-management-reporting-and-assurances-for-16-to-19-year-olds-funding,3,"Education, training and skills",0,0
793,538c61de-1de6-4fc3-8e72-a06de44e1b04,10,0.3292655050754547,/education/local-authority-further-education-financial-reporting-and-assurance,4,"Education, training and skills",0,0
337,532905a6-84fe-42cc-8c83-77750f0baa3d,73,0.3289174735546112,/society-and-culture/recreation,3,Society and culture,0,0
404,733034e3-37a8-4a2e-9c6b-cf4508eeade0,11,0.3285849094390869,/housing-local-and-community/repossessions-evictions,3,"Housing, local and community",0,0
991,dd238797-cc99-4144-ad8c-e6d16f8e2176,12,0.3285101056098938,/transport/surface-access-to-airports,3,Transport,0,0
381,2c62f8f9-7fec-4623-a6ff-a7ecf3057051,108,0.32809978723526,/transport/bus-operators,4,Transport,0,0
813,d3df7728-db52-411f-afd2-44dbd09f553b,28,0.32802462577819824,/entering-staying-uk/visa-application-centres,3,Entering and staying in the UK,0,0
1041,6720acc7-14c8-42ba-890c-dfe97db4249d,16,0.3277575969696045,/money/business-tax-paye-expenses-and-benefits,4,Money,0,0
973,d6ecea97-16a9-485b-ad56-fa9c2dc75df7,11,0.3275648355484009,/childcare-parenting/childrens-homes-other-residential-care-inspections,5,"Parenting, childcare and children's services ",0,0
1108,ef9e3404-3771-4077-8f76-ad20b8d27bd5,21,0.32742932438850403,/transport/air-navigation,3,Transport,0,0
1001,f9581ec6-e4d2-4a68-b187-b364d3f90e76,44,0.32740336656570435,/transport/seafarer-management-training-and-certification,3,Transport,0,0
415,af28c09d-4c29-4534-8755-fc4ec2a35f1a,12,0.3273638188838959,/education/hiring-and-training-and-intern-or-trainee,4,"Education, training and skills",0,0
612,a3144050-6bb6-4174-847c-671f69ea1e7f,12,0.32735809683799744,/environment/environmental-management-wildlife-habitat-conservation-reptiles-and-amphibians,4,Environment,0,0
608,2682bef9-0963-43e3-8610-30b31ec1c4d0,33,0.3270524740219116,/education/apprenticeships-funding,4,"Education, training and skills",0,0
479,98f4b5d8-48cf-4a60-a395-7cba32a09325,164,0.32680556178092957,/transport/hs2-stakeholder-and-community-engagement,4,Transport,0,0
453,087ef463-b802-49c8-a107-b99b5bc725d5,148,0.32655850052833557,/transport/theory-tests,4,Transport,0,0
516,3d796637-9c22-4b65-a24f-a01a31586fbb,63,0.3261406719684601,/health-and-social-care/population-screening-programmes,2,Health and social care,0,0
163,862ff370-cde8-47b7-83b7-a878f579e2aa,13,0.32579442858695984,/transport/mobility-scooters-and-wheelchairs,3,Transport,0,0
1179,23d93175-0074-4270-a003-ada97b619646,4,0.3257646858692169,/government/technology-guidance-technology-guidance-passwords,4,Government,1,0
1176,926408e1-1d54-493c-a458-9907eb3743da,4,0.3257646858692169,/government/technology-guidance-technology-guidance-digital-service-security,4,Government,1,0
527,b52d05ab-bc36-4a68-9bbf-63417788af3c,62,0.32553017139434814,/childcare-parenting/performance-and-inspection-of-childcare-providers,4,"Parenting, childcare and children's services ",0,0
1130,c9a4751f-875b-4a22-aa6d-dbc4c5b39186,16,0.3248187303543091,/education/adult-education-funding,4,"Education, training and skills",0,0
15,3cf97f69-84de-41ae-bc7b-7e2cc238fa58,6444,0.3246411383152008,/environment,1,Environment,0,0
826,98a946dc-adf6-4b24-a25b-9210b632680b,4,0.3243180513381958,/money/business-tax-aggregates-levy-payments-and-reliefs,4,Money,1,0
113,42e6e5c3-3a06-4a6f-abd4-a4b85d9c6b16,780,0.3242894113063812,/education/running-and-managing-a-school,2,"Education, training and skills",0,0
340,c2f971d6-e0b4-4b00-87a4-074d6c96b2c9,48,0.32323920726776123,/education/data-collection-and-censuses-for-schools,3,"Education, training and skills",0,0
324,662d14a1-3757-40d5-8c8b-071d7ca97149,75,0.3230668604373932,/health-and-social-care/health-protection-chemical-and-environmental-hazards,3,Health and social care,0,0
473,2170a0e2-603e-4385-b929-4b17b9ecc343,49,0.3229793906211853,/entering-staying-uk/Foreign-nationals-working-in-UK,3,Entering and staying in the UK,0,0
584,2a101a76-32c5-4781-8cec-85e65a95c041,48,0.3221921920776367,/environment/marine-planning,3,Environment,0,0
683,735f4865-8b48-4ea8-99c2-94f121839367,77,0.32184886932373047,/defence/stability-in-the-western-balkans,2,Defence and armed forces,0,0
